microtraithmm-name	db_xref-ec_tc	db_xref-kegg	microtraithmm-description
ccmM		K08698	carbon dioxide concentrating mechanism protein CcmM
ccmL		K08697	carbon dioxide concentrating mechanism protein CcmL
ccmK		K08696	carbon dioxide concentrating mechanism protein CcmK
bglH	1.B.3.1.3_P26218	K10124	carbohydrate-specific outer membrane porin
kpsE	3.A.1.101	K10107	capsular polysaccharide transport system permease protein
kpsM	3.A.1.101	K09688	capsular polysaccharide transport system permease protein
kpsT	3.A.1.101	K09689	capsular polysaccharide transport system ATP-binding protein
carE	1.3.1.108	K22432	caffeyl-CoA reductase-Etf complex subunit CarE [EC:1.3.1.108]
carD	1.3.1.108	K22431	caffeyl-CoA reductase-Etf complex subunit CarD [EC:1.3.1.108]
carC	1.3.1.108	K22430	caffeyl-CoA reductase-Etf complex subunit CarC [EC:1.3.1.108]
chaA	2.A.19	K07300	Ca2+:H+ antiporter
dctP	2.A.56.1.1_P37735	K11688	C4-dicarboxylate-binding protein DctP
dcuC	2.A.61.1.1_P0ABP3;2.A.61.1.2_P45428	K03326	C4-dicarboxylate transporter, DcuC family
dctQ	2.A.56.1.1_O07837	K11689	C4-dicarboxylate transporter, DctQ subunit
dctM	2.A.56.1.1_O07838	K11690	C4-dicarboxylate transporter, DctM subunit
bcd	1.3.8.1	K00248	butyryl-CoA dehydrogenase [EC:1.3.8.1]
buk	2.7.2.7	K00929	butyrate kinase [EC:2.7.2.7]
bdhAB	1.1.1.-	K00100	butanol dehydrogenase [EC:1.1.1.-]
tc.livcs	2.A.26.1.10_P0AD99;2.A.26.1.1_P19072;2.A.26.1.2_P25185;2.A.26.1.3_P54104;2.A.26.1.4_O84558;2.A.26.1.5_C0CGS2;2.A.26.1.8_B8J0B8;2.A.26.1.9_F2HK99	K03311	branched-chain amino acid:cation transporter, LIVCS family
livK	3.A.1.4.10_Q8DQI1;3.A.1.4.11_Q6N8W4;3.A.1.4.1_P04816;3.A.1.4.1_P0AD96;3.A.1.4.3_Q9L3M3;3.A.1.4.8_P21175	K01999	branched-chain amino acid transport system substrate-binding protein
livM	3.A.1.4.10_Q8DQH9;3.A.1.4.11_Q6N8W1;3.A.1.4.1_P22729;3.A.1.4.3_Q8VM84;3.A.1.4.8_P21628	K01998	branched-chain amino acid transport system permease protein
livH	3.A.1.4.10_Q8DQI0;3.A.1.4.11_Q6N8W0;3.A.1.4.1_P0AEX7;3.A.1.4.3_Q8VM85;3.A.1.4.8_P21627	K01997	branched-chain amino acid transport system permease protein
livG	3.A.1.4.10_Q8DQH7;3.A.1.4.10_Q8DQH8;3.A.1.4.1_P0A9S7;3.A.1.4.3_Q8VM83;3.A.1.4.8_P21629	K01995	branched-chain amino acid transport system ATP-binding protein
livF	3.A.1.4.10_Q8DQH7;3.A.1.4.11_Q6N8W2;3.A.1.4.1_P22731;3.A.1.4.8_P21630	K01996	branched-chain amino acid transport system ATP-binding protein
bpgm	5.4.2.4;5.4.2.11	K01837	BPGM; bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11] 
bioY	3.A.1.25.5_Q9WZQ6;3.A.1.25.7_D5ARG8	K03523	biotin transport system substrate-specific component
bioN	3.A.1.25.7_D5ARG9;3.A.1.25.1	K16783	biotin transport system permease protein
bioM	3.A.1.25.7_D5ARH0;3.A.1.25.1	K16784	biotin transport system ATP-binding protein [EC:3.6.3.-]
pcc2		K15037	biotin carboxyl carrier protein 
pcc4		K18605	biotin carboxyl carrier protein 
tolR	1.A.30.2.2	K03560	biopolymer transport protein TolR
tolQ	1.A.30.2.2	K03562	biopolymer transport protein TolQ
exbD	1.A.30.2.1	K03559	biopolymer transport protein ExbD
exbB	1.A.30.2.1	K03561	biopolymer transport protein ExbB
nrnA	3.1.3.7;3.1.13.3	K06881	bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3] 
fae-hps	4.2.1.147;4.1.2.43	K13812	bifunctional enzyme Fae/Hps [EC:4.2.1.147 4.1.2.43] 
cysNC	2.7.7.4;2.7.1.25	K00955	bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25] 
hoxE	7.1.1.2	K05586	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
hoxF	7.1.1.2	K05587	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
hoxU	7.1.1.2	K05588	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]
cmpA	3.A.1.16.3	K11950	bicarbonate transport system substrate-binding protein
cmpB	3.A.1.16.3	K11951	bicarbonate transport system permease protein
cmpC	3.A.1.16.3	K11952	bicarbonate transport system ATP-binding protein [EC:3.6.3.-]
cmpD	3.A.1.16.3	K11953	bicarbonate transport system ATP-binding protein [EC:3.6.3.-]
benE	2.A.46.1	K05782	benzoate membrane transport protein
bcpA	4.1.1.112	K01003	bcpA; oxaloacetate decarboxylase [EC:4.1.1.112] 
bccA		K11263	bccA, pccA; acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protei 
tc.apa	2.A.3.3.16_Q9L100;2.A.3.3.22_Q8R706;2.A.3.3.23_s6ex81;2.A.3.8.12_O34739;2.A.3.8.28_K1M2K1	K03294	basic amino acid/polyamine antiporter, APA family
tc.bat2	2.A.7.21.9_D3P9M1;2.A.7.21.5_G8WDN2;2.A.7.21.5_G8WDN3	K09936	bacterial/archaeal transporter family-2 protein
bcrB	3.A.1.131.1	K19310	bacitracin transport system permease protein
braE	3.A.1.134	K19084	bacitracin transport system permease protein
bceB	3.A.1.134.3	K11632	bacitracin transport system permease protein
bcrA	3.A.1.131.1	K19309	bacitracin transport system ATP-binding protein
braD	3.A.1.134	K19083	bacitracin transport system ATP-binding protein
bceA	3.A.1.134.3	K11631	bacitracin transport system ATP-binding protein
azf	1.1.1.388	K19243	azf; NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388] 
pfk	2.7.1.11;2.7.1.90	K21071	ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]
aclB	2.3.3.8	K15231	ATP-citrate lyase beta-subunit [EC:2.3.3.8] 
aclA	2.3.3.8	K15230	ATP-citrate lyase alpha-subunit [EC:2.3.3.8] 
blpA	3.A.1.112	K20344	ATP-binding cassette, subfamily C, bacteriocin exporter
eexD	3.A.1.110.13_O67184;3.A.1.110.10	K16299	ATP-binding cassette, subfamily C, bacterial EexD
cydD	3.A.1.129.1_P29018	K16013	ATP-binding cassette, subfamily C, bacterial CydD
cydCD	3.A.1.129	K16014	ATP-binding cassette, subfamily C, bacterial CydCD
cydC	3.A.1.129.1_P23886	K16012	ATP-binding cassette, subfamily C, bacterial CydC
pglK	3.A.1.106.15_Q0P9C4;3.A.1.119.4_Q9RK13	K06148	ATP-binding cassette, subfamily C, bacterial
steA	3.A.1	K18216	ATP-binding cassette, subfamily B, tetracycline resistant protein
steB	3.A.1	K18217	ATP-binding cassette, subfamily B, tetracycline resistant protein
msbA	3.A.1.106.1_P60752	K11085	ATP-binding cassette, subfamily B, bacterial MsbA [EC:3.6.3.-]
abcB	3.A.1.106.14_P73239;3.A.1.106.15_Q0P9C4;3.A.1.21.1_Q9R7V3;3.A.1.21.1_Q9Z375	K06147	ATP-binding cassette, subfamily B, bacterial
acly	2.3.3.8	K01648	ATP citrate (pro-S)-lyase [EC:2.3.3.8] 
nasB	1.7.99.-	K00360	assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
nasA	1.7.99.-	K00372	assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
aspB	2.6.1.1	K00812	aspartate aminotransferase [EC:2.6.1.1]
aspC	2.6.1.1	K00813	aspartate aminotransferase [EC:2.6.1.1]
yhdR	2.6.1.1	K11358	aspartate aminotransferase [EC:2.6.1.1]
arsB2	2.A.59	K03325	arsenite transporter, ACR3 family
arsB1	2.A.45.1;3.A.4.1	K03893	arsenical pump membrane protein
arsC2	1.20.4.4	K03741	arsenate reductase (thioredoxin) [EC:1.20.4.4]
arsC	1.20.4.1	K00537	arsenate reductase (glutaredoxin) [EC:1.20.4.1]
aroP2	2.A.3.1.3_P15993	K11734	aromatic amino acid transport protein AroP
aroP1	2.A.3.1.12_Q46065	K16237	aromatic amino acid permease
aotJ	3.A.1.3.11_O50181	K10022	arginine/ornithine transport system substrate-binding protein
aotQ	3.A.1.3.11_O50182	K10024	arginine/ornithine transport system permease protein
aotM	3.A.1.3.11_O50183	K10023	arginine/ornithine transport system permease protein
aotP	3.A.1.3.11_O30506;3.A.1.3.1_P02915;3.A.1.3.23_Q9HU32	K10025	arginine/ornithine transport system ATP-binding protein [EC:3.6.3.-]
rocE	2.A.3.1.11_P39137	K02205	arginine/ornithine permease
bgtB	3.A.1.3.12_P73544;3.A.1.3.17_Q8YSA2	K17062	arginine/lysine/histidine/glutamine transport system substrate-binding and permease protein
bgtA	3.A.1.3.12_P73721	K17063	arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:3.6.3.-]
artP2	3.A.1.3.15;3.A.1.3.27	K23059	arginine/lysine/histidine transporter system substrate-binding protein
artQ2	3.A.1.3.15;3.A.1.3.27	K17077	arginine/lysine/histidine transport system permease protein
artR	3.A.1.3.15;3.A.1.3.27	K23060	arginine/lysine/histidine transport system ATP-binding protein [EC:7.4.2.1]
arcD	2.A.3.2.10_F2HL52;2.A.3.2.11_F2HL56;2.A.3.2.3_P18275;2.A.3.2.4_P35865;2.A.3.2.6_O32204;2.A.3.2.7_Q9Z6M8;2.A.3.2.8_P0AAE5	K03758	arginine:ornithine antiporter / lysine permease
adiC	2.A.3.2.5_P60061	K03759	arginine:agmatine antiporter
artI	3.A.1.3.3_P30859;3.A.1.3.3_P30860	K09997	arginine transport system substrate-binding protein
artJ	3.A.1.3.3_P30860	K09996	arginine transport system substrate-binding protein
artM	3.A.1.3.3_P0AE30	K09998	arginine transport system permease protein
artQ1	3.A.1.3.3_P0AE34	K09999	arginine transport system permease protein
artP1	3.A.1.3.3_P0AAF6	K10000	arginine transport system ATP-binding protein [EC:3.6.3.-]
araN	3.A.1.1.34_P94528	K17234	arabinosaccharide transport system substrate-binding protein
araP	3.A.1.1.34_P94529	K17235	arabinosaccharide transport system permease protein
araQ	3.A.1.1.34_P94530	K17236	arabinosaccharide transport system permease protein
ganO	3.A.1.1.16_P58300;3.A.1.1.26_O06989;3.A.1.1.27_Q8DT28;3.A.1.1.44_Q7AKP1	K15770	arabinogalactan oligomer / maltooligosaccharide transport system substrate-binding protein
ganP	3.A.1.1.16_Q8TZP9;3.A.1.1.26_O06990;3.A.1.1.27_Q8DT27;3.A.1.1.44_Q9KZ07;3.A.1.1.51_Q6MNM0	K15771	arabinogalactan oligomer / maltooligosaccharide transport system permease protein
ganQ	3.A.1.1.16_Q8TZQ0;3.A.1.1.26_O06991;3.A.1.1.27_Q8DT26;3.A.1.1.44_Q9KZ08	K15772	arabinogalactan oligomer / maltooligosaccharide transport system permease protein
asrC		K00385	anaerobic sulfite reductase subunit C 
asrB		K16951	anaerobic sulfite reductase subunit B 
asrA		K16950	anaerobic sulfite reductase subunit A 
norV		K12264	anaerobic nitric oxide reductase flavorubredoxin
dmsC		K07308	anaerobic dimethyl sulfoxide reductase subunit C 
dmsB		K07307	anaerobic dimethyl sulfoxide reductase subunit B 
dmsA	1.8.5.3	K07306	anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3] 
cdhB		K00195	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon 
cdhA	1.2.7.4	K00192	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4] 
cooF		K00196	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit 
cooS	1.2.7.4	K00198	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4] 
dcuB	2.A.13.1.2_P0ABN9;2.A.13.1.3_Q8ZLD2;2.A.13.1.4_K0K2U6	K07792	anaerobic C4-dicarboxylate transporter DcuB
dcuA	2.A.13.1.1_P0ABN5;2.A.13.1.3_Q8ZLD2;2.A.13.1.4_K0K2U6	K07791	anaerobic C4-dicarboxylate transporter DcuA
amt	1.A.11	K03320	ammonium transporter, Amt family
abgT	2.A.68.1.1_P46133;2.A.68.1.3_D9QJW1;2.A.68.1.4_Q0VR69	K12942	aminobenzoyl-glutamate transport protein
tc.aat	2.A.3.1.20_F2HQ24;2.A.3.1.21_F2HQ25	K03293	amino acid transporter, AAT family
yahN	2.A.76.1.3_P75693	K03329	amino acid exporter
yjeH	2.A.3.13.1_P39277	K16263	amino acid efflux transporter
amiS	1.A.29.1.1;1.A.29.1.2;1.A.29.1.6	K22112	amide transporter protein
uxaA	4.2.1.7	K01685	altronate hydrolase [EC:4.2.1.7]
aglE	3.A.1.1.32_Q55471;3.A.1.1.8_Q9Z3R5	K10232	alpha-glucoside transport system substrate-binding protein
aglF	3.A.1.1.32_Q55472;3.A.1.1.8_Q9Z3R6	K10233	alpha-glucoside transport system permease protein
aglG	3.A.1.1.32_Q55473;3.A.1.1.8_Q9Z3R7	K10234	alpha-glucoside transport system permease protein
aglK	3.A.1.1.17_Q9R9Q4;3.A.1.1.4_Q01937;3.A.1.1.8_Q9Z3R9	K10235	alpha-glucoside transport system ATP-binding protein
aguE	3.A.1.1.39	K17241	alpha-1,4-digalacturonate transport system substrate-binding protein
aguF	3.A.1.1.39	K17242	alpha-1,4-digalacturonate transport system permease protein
aguG	3.A.1.1.39	K17243	alpha-1,4-digalacturonate transport system permease protein
allP	2.A.39.3.8	K10975	allantoin permease
ssuD	1.14.14.5	K04091	alkanesulfonate monooxygenase [EC:1.14.14.5] 
phoD	3.1.3.1	K01113	alkaline phosphatase D [EC:3.1.3.1]
phoA	3.1.3.1	K01077	alkaline phosphatase [EC:3.1.3.1]
algE	1.B.13.1.1_P18895;1.B.13.1.2_Q44497;1.B.13.1.7_Q0VSL2	K16081	alginate production protein
galM	5.1.3.3	K01785	aldose 1-epimerase [EC:5.1.3.3]
aldh9A1	1.2.1.47;1.2.1.3	K00149	ALDH9A1; aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] 
aldh7A1	1.2.1.31;1.2.1.8;1.2.1.3	K14085	ALDH7A1; aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 
aldh	1.2.1.3	K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 
mox	1.1.3.13	K17066	alcohol oxidase [EC:1.1.3.13] 
agxt	2.6.1.44;2.6.1.45;2.6.1.51	K00830	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase [EC:2.6.1.44 2.6.1.45 2.6.1.51]
alt	2.6.1.2	K00814	alanine transaminase [EC:2.6.1.2]
tc.agcs	2.A.25.1.10_P30143;2.A.25.1.1_P30144;2.A.25.1.2_P30145;2.A.25.1.3_Q6LX42;2.A.25.1.4_Q8EII1;2.A.25.1.5_Q45068;2.A.25.1.9_W0WFC6	K03310	alanine or glycine:cation symporter, AGCS family
dctA	2.A.23.1.10_Q848I3;2.A.23.1.3_Q01857;2.A.23.1.6_P96603;2.A.23.1.9_Q1J1H5	K11103	aerobic C4-dicarboxylate transport protein
adpgk	2.7.1.147	K08074	ADPGK; ADP-dependent glucokinase [EC:2.7.1.147] 
pfkC	2.7.1.146;2.7.1.147	K00918	ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147] 
adhP	1.1.1.1	K13953	adhP; alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 
adhE	1.2.1.10;1.1.1.1	K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] 
adh6	1.1.1.1	K13952	ADH6; alcohol dehydrogenase 6 [EC:1.1.1.1] 
adh4	1.1.1.1	K13980	ADH4; alcohol dehydrogenase 4 [EC:1.1.1.1] 
adh1	1.1.1.1	K18857	ADH1; alcohol dehydrogenase class-P [EC:1.1.1.1] 
adh17	1.1.1.1	K13951	ADH1_7; alcohol dehydrogenase 1/7 [EC:1.1.1.1] 
aprB	1.8.99.2	K00395	adenylylsulfate reductase, subunit B [EC:1.8.99.2] 
aprA	1.8.99.2	K00394	adenylylsulfate reductase, subunit A [EC:1.8.99.2] 
cysC	2.7.1.25	K00860	adenylylsulfate kinase [EC:2.7.1.25] 
acr-hydt	1.3.1.84;4.2.1.116;6.2.1.36	K14469	acrylyl-CoA reductase (NADPH) / 3-hydroxypropionyl-CoA dehydratase / 3-hydroxypropionyl-CoA synthetase [EC:1.3.1.84 4.2.1.116 6.2.1.36]
acr	1.3.1.84	K15020	acryloyl-coenzyme A reductase [EC:1.3.1.84] 
acnB	4.2.1.3;4.2.1.99	K01682	aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99] 
acnA	4.2.1.3	K01681	aconitate hydratase [EC:4.2.1.3] 
ackA	2.7.2.1	K00925	ackA; acetate kinase [EC:2.7.2.1] 
aphA	3.1.3.2	K03788	acid phosphatase (class B) [EC:3.1.3.2]
phoN	3.1.3.2	K09474	acid phosphatase (class A) [EC:3.1.3.2]
ahy	4.2.1.112	K20625	acetylene hydratase [EC:4.2.1.112]
pccX	6.4.1.3;6.4.1.2	K22568	acetyl-CoA/propionyl-CoA carboxylase, PccX subunit [EC:6.4.1.3 6.4.1.2]
accD6	6.4.1.2;6.4.1.3;2.1.3.15	K18472	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:6.4.1.2 6.4.1.3 2.1.3.15]
pccB	2.1.3.15;6.4.1.3;6.4.1.2	K19312	acetyl-CoA/propionyl-CoA carboxylase carboxyl transferase subunit [EC:2.1.3.15 6.4.1.3 6.4.1.2]
pcc5	6.4.1.2;6.4.1.3	K18603	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3] 
pcc6	6.4.1.2;6.4.1.3	K01964	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3] 
pcc1	6.4.1.2;6.4.1.3;2.1.3.15	K15036	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15] 
pcc3	6.4.1.2;6.4.1.3;2.1.3.15	K18604	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3 2.1.3.15] 
acss	6.2.1.1	K01895	acetyl-CoA synthetase [EC:6.2.1.1] 
acsB	2.3.1.169	K14138	acetyl-CoA synthase [EC:2.3.1.169] 
acsC	2.1.1.245	K00197	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245] 
acsD	2.1.1.245	K00194	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245] 
cdhC	2.3.1.169	K00193	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169] 
accC	6.4.1.2;6.3.4.14	K01961	acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14] 
accD	6.4.1.2;2.1.3.15	K01963	acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15] 
accA	6.4.1.2;2.1.3.15	K01962	acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15] 
bccP		K02160	acetyl-CoA carboxylase biotin carboxyl carrier protein 
atoB	2.3.1.9	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
aclSsmall_2	2.2.1.6	K11258	acetolactate synthase II small subunit [EC:2.2.1.6]
aclSsmall_1	2.2.1.6	K01653	acetolactate synthase I/III small subunit [EC:2.2.1.6]
aclSlarge	2.2.1.6	K01652	acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
alsD	4.1.1.5	K01575	acetolactate decarboxylase [EC:4.1.1.5]
ytrC_D	3.A.1	K16919	acetoin utilization transport system permease protein
ytrF	3.A.1	K16918	acetoin utilization transport system permease protein
ytrB	3.A.1	K16921	acetoin utilization transport system ATP-binding protein
ytrE	3.A.1	K16920	acetoin utilization transport system ATP-binding protein
phbB	1.1.1.36	K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]
adc	4.1.1.4	K01574	acetoacetate decarboxylase [EC:4.1.1.4]
atoA	2.8.3.9;2.8.3.8	K01035	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.9 2.8.3.8]
atoD	2.8.3.9;2.8.3.8	K01034	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.9 2.8.3.8]
ydiF	2.8.3.8	K19709	acetate CoA-transferase [EC:2.8.3.8]
aceE	1.2.4.1	K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1] 
aceB	2.3.3.9	K01638	aceB, glcB; malate synthase [EC:2.3.3.9] 
acdB	6.2.1.13	K22224	acdB; acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13] 
acdA	6.2.1.13	K01905	acdA; acetate---CoA ligase (ADP-forming) subunit alpha [EC:6.2.1.13] 
yadH	3.A.1.105.17_P0AFN6;3.A.1.132.1_Q93LN1;3.A.1.142.1_Q8DNC0;3.A.1.143.1_P55340	K01992	ABC-2 type transport system permease protein
yadG	3.A.1.105.17_P36879;3.A.1.132.1_O30489;3.A.1.142.1_Q8DNB9;3.A.1.143.1_P55339	K01990	ABC-2 type transport system ATP-binding protein
cofG	4.3.1.32	K11780	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase [EC:4.3.1.32] 
pfkB	2.7.1.11	K16370	6-phosphofructokinase 2 [EC:2.7.1.11] 
pfkA	2.7.1.11	K00850	6-phosphofructokinase 1 [EC:2.7.1.11] 
hxlB	5.3.1.27	K08094	6-phospho-3-hexuloisomerase [EC:5.3.1.27] 
fae	4.2.1.147	K10713	5,6,7,8-tetrahydromethanopterin hydro-lyase [EC:4.2.1.147] 
mer	1.5.98.2	K00320	5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2] 
hmd	1.12.98.2	K13942	5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2] 
acsE	2.1.1.258	K15023	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258] 
cofH	2.5.1.147	K11781	5-amino-6-(D-ribitylamino)uracil---L-tyrosine 4-hydroxyphenyl transferase [EC:2.5.1.147] 
mfnE	2.7.4.31	K07144	5-(aminomethyl)-3-furanmethanol phosphate kinase [EC:2.7.4.31] 
fwdF		K00205	4Fe-4S ferredoxin 
fwdG		K11260	4Fe-4S ferredoxin 
fwdH		K00204	4Fe-4S ferredoxin 
abfD	4.2.1.120;5.3.3.3	K14534	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3] 
4hbl1	6.2.1.40	K18861	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 
4hbl2	6.2.1.40	K14467	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 
4hbl3	6.2.1.40	K14466	4-hydroxybutyrate---CoA ligase (AMP-forming) [EC:6.2.1.40] 
4hbl_arch	6.2.1.56	K18593	4-hydroxybutyrate---CoA ligase (ADP-forming) [EC:6.2.1.56] 
jgt	2.4.1.25	K22451	4-alpha-glucanotransferase [EC:2.4.1.25]
malQ	2.4.1.25	K00705	4-alpha-glucanotransferase [EC:2.4.1.25]
bpnt	3.1.3.7	K01082	3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7] 
meh	4.2.1.153	K09709	3-methylfumaryl-CoA hydratase [EC:4.2.1.153] 
hys	6.2.1.36	K15018	3-hydroxypropionyl-coenzyme A synthetase [EC:6.2.1.36] 
hydt	4.2.1.116	K15019	3-hydroxypropionyl-coenzyme A dehydratase [EC:4.2.1.116] 
h3cl	6.2.1.-	K18594	3-hydroxypropionyl-CoA synthetase (ADP-forming) [EC:6.2.1.-] 
hydG	1.1.1.298	K15039	3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298] 
hydg	1.1.1.298	K15039	3-hydroxypropionate dehydrogenase (NADP+) [EC:1.1.1.298] 
hbd	1.1.1.157	K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
croR	4.2.1.55	K17865	3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
fadB	1.1.1.35;4.2.1.17 5.1.2.3 5.3.3.8	K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
fadJ	1.1.1.35;4.2.1.17;5.1.2.3	K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
fadN	1.1.1.35	K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
hadh	1.1.1.35	K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
hps-phi	4.1.2.43;5.3.1.27	K13831	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase [EC:4.1.2.43 5.3.1.27] 
hxlA	4.1.2.43	K08093	3-hexulose-6-phosphate synthase [EC:4.1.2.43] 
dmdB	6.2.1.44	K20034	3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44] 
dmdC	1.3.8.-	K20035	3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-] 
apgM	5.4.2.12	K15635	2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12] 
comB	3.1.3.71	K05979	2-phosphosulfolactate phosphatase [EC:3.1.3.71] 
cofC	2.7.7.68	K14941	2-phospho-L-lactate guanylyltransferase [EC:2.7.7.68] 
oforB	1.2.7.3;1.2.7.11	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
oforA	1.2.7.3;1.2.7.11	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
dlst	2.3.1.61	K00658	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]
mct	5.4.1.3	K14470	2-methylfumaryl-CoA isomerase [EC:5.4.1.3] 
mfch	4.2.1.148	K14449	2-methylfumaryl-CoA hydratase [EC:4.2.1.148] 
kdgT	2.A.10.1	K02526	2-keto-3-deoxygluconate permease
kdpgA	4.1.2.55	K11395	2-dehydro-3-deoxy-phosphogluconate/2-dehydro-3-deoxy-6-phosphogalactonate aldolase [EC:4.1.2.55]
phnS	3.A.1.11.5	K11081	2-aminoethylphosphonate transport system substrate-binding protein
phnU	3.A.1.11.5	K11083	2-aminoethylphosphonate transport system permease protein
phnV	3.A.1.11.5	K11082	2-aminoethylphosphonate transport system permease protein
phnT	3.A.1.11.5	K11084	2-aminoethylphosphonate transport system ATP-binding protein
dhaT	1.1.1.202	K00086	1,3-propanediol dehydrogenase [EC:1.1.1.202]
mtbA	2.1.1.247	K14082	[methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]
mtaA	2.1.1.246	K14080	[methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246]
citC	6.2.1.22	K01910	[citrate (pro-3S)-lyase] ligase [EC:6.2.1.22]
